flat_tax,equal_loss,optimal_loss
0.0,0.4353701957948857,0.38847564067286705
0.01,0.41911060103091996,0.37324136965491433
0.02,0.40285531128979946,0.358189443284939
0.03,0.38660499964653944,0.34332518208561497
0.04,0.37036042765722754,0.3282267889291253
0.05,0.35412198589810917,0.3132295143842105
0.06,0.3378901488615249,0.29820722813939826
0.07,0.3216663727193497,0.28330744028916977
0.08,0.3054530427452609,0.2684769154293937
0.09,0.28925101728630775,0.2540795310892242
0.1,0.2730635892248893,0.2387294529816053
0.11,0.25689027873914055,0.22416573448334737
0.12,0.2407354845291485,0.20954018340281835
0.13,0.22460570853027045,0.1949808683998853
0.14,0.20850748810005146,0.1806720997547314
0.15,0.19244140495748202,0.16671338449188358
0.16,0.1764119887333245,0.15305277734404568
0.17,0.16042575079156976,0.13974859361881128
0.18,0.14474801243420007,0.12657308569745704
0.19,0.12993031897085175,0.11366115938936001
0.2,0.11555135912335986,0.10104361512156919
0.21,0.10168336000639268,0.08857746243884726
0.22,0.08837187068364134,0.07672875349357898
0.23,0.07569656819647289,0.0658645568749149
0.24,0.06373455640781536,0.0567830885593034
0.25,0.053643289053011044,0.04998364181050157
0.26,0.046851123663958015,0.045052356716619696
0.27,0.04234883450258381,0.04127922815389446
0.28,0.03889592097199202,0.03828082031352502
0.29,0.03633135114143405,0.03587134821308768
0.3,0.03447064993556316,0.034052376911668125
0.31,0.033234122215527545,0.03266093745538151
0.32,0.032468896962899285,0.03166057336298904
0.33,0.032073413664037285,0.0309660910877199
0.34,0.0320259460211052,0.030638751463710683
0.35000000000000003,0.032244381312156414,0.03055551480641367
0.36,0.03268280247191935,0.030705068815524025
0.37,0.03330414618283295,0.031132724104080717
0.38,0.03427015189491846,0.031776984628849245
0.39,0.03536984713998712,0.03257071914287952
0.4,0.03655283451014362,0.03328019728284762
0.41000000000000003,0.037795745094467446,0.034185548049032045
0.42,0.039095127469572576,0.03512904070862953
0.43,0.040438300598196045,0.036150062689810476
0.44,0.04184330240639929,0.03724868333935746
0.45,0.04331378113152002,0.03831948588803348
0.46,0.04481075638461576,0.03946524275028131
0.47000000000000003,0.04632829462649206,0.040670484256542405
0.48,0.04786145685183594,0.041910049757997364
0.49,0.04941072470460652,0.043238547196923764
0.5,0.05097318336866074, 0.044551676717090934
